track_id,track_pos,artists,track_name,writers,track_votes
1966_8,9,Sergio Endrigo-Chad & Jeremy,Adesso sì,S. Endrigo,8
1966_9,10,Milva-Richard Anthony,Nessuno di voi,G. Kramer-V. Pallavicini,8
1967_0,1,Claudio Villa-Iva Zanicchi,Non pensare a me,A. Testa-E. Sciorilli,45
1967_1,2,Annarita Spinaci-Les Surfs,Quando dico che ti amo,A. Testa-T. Renis,43
1967_2,3,I Giganti-The Bachelors,Proposta,Albula-G. B. Martelli,28
1967_3,4,Ornella Vanoni-Mario Guarnera,La musica è finita,Nisa- F. Califano-U. Bindi,24
1967_4,5,Orietta Berti-Les Compagnons de la Chanson,"Io, tu e le rose",D. Pace- M. Panzeri- M. G. Gili-L. Barazzetti,15
1967_5,6,Lucio Dalla-The Rokes,Bisogna saper perdere,G. Cassia-R. Cini,14
1967_6,7,Sergio Endrigo-Memo Remigi,Dove credi di andare,S. Endrigo,12
1967_7,8,Gian Pieretti-Antoine,Pietre,G. Pieretti-R. Gianco,11
1967_8,9,Johnny Dorelli-Don Backy,L'immensità,D. Backy- Mogol-D. Mariano,9
1967_9,10,Little Tony-Mario Zelinotti,Cuore matto,A. Ambrosino-T. Savio,8
1968_0,1,Sergio Endrigo-Roberto Carlos,Canzone per te,S. Endrigo- S. Bardotti,306
1968_1,2,Ornella Vanoni-Marisa Sannia,Casa bianca,A. Caponi- E. La Valle,255
1968_2,3,Adriano Celentano-Milva,Canzone,A. Caponi- D. Mariano,251
1968_3,4,Fausto Leali-Wilson Pickett,Deborah,V. Pallavicini- P. Conte-P. Massara,224
1968_4,5,Antoine-Gianni Pettenati,La tramontana,D. Pace-M. Panzeri,172
1968_5,6,Anna Identici-The Sandpipers,Quando m'innamoro,M. Panzeri- D. Pace-R. Livraghi,126
1968_6,7,Massimo Ranieri-I Giganti,Da bambino,R. Pradella-R. Angiolini,123
1968_7,8,Gigliola Cinquetti-Giuliana Valci,Sera,R. Vecchioni-A. Lo Vecchio,97
1968_8,9,Al Bano-Bobby Gentry,La siepe,V. Pallavicini-P. Massara,92
1968_9,10,Little Tony-Mario Guarnera,Un uomo piange solo per amore,Petaluma- M. Vicari-M. Marrocchi,82
1969_0,1,Bobby Solo-Iva Zanicchi,Zingara,L. Albertelli- E. Riccardi,237
1969_1,2,Sergio Endrigo-Mary Hopkin,Lontano dagli occhi,S. Bardotti- S. Endrigo- L. Bacalov,228
1969_2,3,Don Backy-Milva,Un sorriso,A. Caponi- D. Mariano-Don Backy,178
1969_3,4,Fausto Leali-Tony Del Monaco,Un'ora fa,L. Beretta- E. Parazzini-G. Intra,154
1969_4,5,Nada-The Rokes,Ma che freddo fa,F. Migliacci-C. Mattone,141
1969_5,6,Gigliola Cinquetti-France Gall,La pioggia,D. Pace- G. Argenio- C. Conti-M. Panzeri,116
1969_6,7,Mal-The Showmen,Tu sei bella come sei,G. Cassia- S. Bardotti- M. Marrocchi-M. Vicari,93
1969_7,8,Caterina Caselli-Johnny Dorelli,Il gioco dell'amore,F. Migliacci-I. Callegari,86
1969_8,9,Lucio Battisti-Wilson Pickett,Un'avventura,Mogol-L. Battisti,69
1969_9,10,Orietta Berti-Massimo Ranieri,Quando l'amore diventa poesia,Mogol-P. Soffici,63
1970_0,1,Adriano Celentano-Claudia Mori,Chi non lavora non fa l'amore,L. Beretta- M. Del Prete- A. Celentano- N. de Luca,344
1970_1,2,Nicola Di Bari-Ricchi e Poveri,La prima cosa bella,Mogol- M. Scommegna- G. F. Reverberi,309
1970_2,3,Sergio Endrigo-Iva Zanicchi,L'arca di Noè,S. Endrigo- L. Bacalov,296
1970_3,4,Ornella Vanoni-Camaleonti,Eternità,G. Bigazzi- C. Cavallaro,235
1970_4,5,Patty Pravo-Little Tony,La spada nel cuore,Mogol- Donida,133
1970_5,6,Gigliola Cinquetti-Bobby Solo,Romantico blues,L. Pilat- M. Panzeri-D. Pace,96
1970_6,7,Rosalino Cellamare-Nada,Pa' diglielo a ma',F. Migliacci- R. Gigli- J. Fontana- M. Cantini-L. Greco,70
1970_7,8,Antoine-Anna Identici,Taxi,G. Argenio- F. Arrigoni- D. Pace- M. Panzeri-C. Conti,65
1970_8,9,Orietta Berti-Mario Tessuto,Tipitipitì,L. Pilat- M. Panzeri-D. Pace,62
1970_9,10,Luciano Tajoli-Mal,Sole pioggia e vento,Mogol-E. Isola,44
1971_0,1,Nada-Nicola Di Bari,Il cuore è uno zingaro,F. Migliacci-C. Mattone,357
1971_1,2,Ricchi e Poveri-José Feliciano,Che sarà,F. Migliacci- C. Pes-J. Fontana,316
1971_2,3,Lucio Dalla-Equipe 84,4 marzo 1943,L. Dalla-P. Pallottino,297
1971_3,4,Donatello-Marisa Sannia,Com'è dolce la sera,L. Albertelli-E. Riccardi,134
