Writer,Songs
L. Carboni,[{'name': "Solo con l'anima mia", 'pos': 2}, {'name': 'Esser duri', 'pos': 9}]
M. Maffucci,[{'name': 'Appena prima di partire', 'pos': 9}]
Filibello,[{'name': 'Vecchie mura', 'pos': 8}]
V. Negrini,[{'name': 'Innamoratevi come me', 'pos': 3}, {'name': 'Uomini soli', 'pos': 1}]
E. Diana,[{'name': "L'unica", 'pos': 6}]
L. Gonzalez Alea,[{'name': 'Il futuro che sarà', 'pos': 8}]
A. Mirò,[{'name': 'Nessuno tocchi Caino', 'pos': 4}]
A. Manfredi,[{'name': 'Quando ti senti sola', 'pos': 4}]
I. Spagna,[{'name': 'Gente come noi', 'pos': 3}, {'name': 'E io penso a te', 'pos': 4}]
S. Martelli,[{'name': 'Che ne sai di me', 'pos': 8}]
G. Spagna,[{'name': 'Gente come noi', 'pos': 3}, {'name': 'E io penso a te', 'pos': 4}]
R. Pippa,[{'name': 'Mi sento bene', 'pos': 8}]
F. Fanigliulo,[{'name': 'A me mi piace vivere alla grande', 'pos': 6}]
Kynsha,[{'name': 'Zerotretresette', 'pos': 10}]
M. Filardo,[{'name': 'Sincerità', 'pos': 1}]
M. Pasini,[{'name': 'Fotografia', 'pos': 6}]
L. Gambetti,[{'name': 'Sedici anni', 'pos': 9}]
R. Vecchioni,[{'name': 'Sera', 'pos': 8}, {'name': "L'uomo che si gioca il cielo a dadi", 'pos': 7}, {'name': 'A lei', 'pos': 7}, {'name': 'Chiamami ancora amore', 'pos': 1}]
P. Mangini,[{'name': 'Niente di più', 'pos': 1}]
F. Mesolella,[{'name': 'Sentimento', 'pos': 1}, {'name': 'È colpa mia', 'pos': 10}]
E. Sinni,[{'name': "L'amore vero", 'pos': 5}]
P. Meneguzzi,[{'name': 'Musica', 'pos': 6}]
Miani,[{'name': 'Me ne andrò', 'pos': 2}]
M. Ciappelli,[{'name': 'Vivere normale', 'pos': 8}, {'name': 'Per tutta la vita', 'pos': 4}, {'name': 'Bianca', 'pos': 8}]
P. Magoni,[{'name': 'E ci sei', 'pos': 9}]
L. G. Arbore,[{'name': 'Il clarinetto', 'pos': 2}]
R. Cellamare,[{'name': 'Piazza Grande', 'pos': 8}, {'name': "Solo con l'anima mia", 'pos': 2}, {'name': 'Occhi neri', 'pos': 5}, {'name': "Vorrei incontrarti fra cent'anni", 'pos': 1}, {'name': 'Nel respiro più grande', 'pos': 10}, {'name': 'Un porto nel vento', 'pos': 9}]
G. Morandi,[{'name': 'La mia nemica amatissima', 'pos': 8}]
D. Benedetti,[{'name': 'Ho bisogno di te', 'pos': 5}]
A. Zitelli,[{'name': 'Non è colpa di nessuno', 'pos': 7}]
U. Smaila,[{'name': 'È tutto un attimo', 'pos': 5}]
C. Farolfi,[{'name': 'Chiedi quello che vuoi', 'pos': 5}]
D. Silvestri,[{'name': "L'uomo col megafono", 'pos': 10}, {'name': 'Aria', 'pos': 9}, {'name': 'La paranza', 'pos': 4}, {'name': 'Argentovivo', 'pos': 6}]
D. Baima Besquet,[{'name': 'La notte dei pensieri', 'pos': 1}]
A. Balestrieri,[{'name': 'Senza di te', 'pos': 3}]
F. De André,[{'name': 'Pitzinnos in sa gherra', 'pos': 8}]
D. Miglietta,[{'name': 'Figli di chi', 'pos': 6}]
P. Rossi,[{'name': 'I soliti accordi', 'pos': 6}]
P. Laquidara,[{'name': 'Lividi e fiori', 'pos': 7}]
G. Anastasi,[{'name': 'Sincerità', 'pos': 1}, {'name': 'Malamorenò', 'pos': 9}, {'name': 'Guardando il cielo', 'pos': 10}, {'name': 'Il diario degli errori', 'pos': 4}]
M. Perrone,[{'name': 'Scusami', 'pos': 3}]
D. Mungai,[{'name': 'Rolls Royce', 'pos': 9}]
A. Raina,[{'name': 'Il mondo prima di te', 'pos': 3}, {'name': 'Frida (mai, mai, mai)', 'pos': 9}]
S. Maiuolo,[{'name': 'Con te', 'pos': 6}]
Depsa,[{'name': 'Non lo faccio più', 'pos': 1}, {'name': 'Ti voglio bene', 'pos': 2}, {'name': 'Oramai', 'pos': 6}, {'name': "E mo' e mo'", 'pos': 9}, {'name': 'Il sognatore', 'pos': 5}, {'name': 'Gli amori', 'pos': 2}, {'name': 'Oggi sposi', 'pos': 8}, {'name': 'Storie', 'pos': 2}]
M. Rinalduzzi,[{'name': 'E poi', 'pos': 7}, {'name': 'E ci sei', 'pos': 9}]
R. Arbore,[{'name': "Una carezza d'aiuto", 'pos': 2}]
E. Isola,[{'name': 'Sole pioggia e vento', 'pos': 10}]
F. Ricciardi,[{'name': "L'ho persa ancora", 'pos': 9}]
G. Fanciulli,[{'name': 'Io sono il vento', 'pos': 2}]
A. Rosario,[{'name': 'Maledetta primavera', 'pos': 2}, {'name': 'Su quel pianeta libero', 'pos': 8}]
E. Sbriccoli,[{'name': 'Beguine', 'pos': 6}]
D. Bernazza,[{'name': 'Intorno a te (È sempre primavera)', 'pos': 7}]
M. Armani,[{'name': 'È la vita', 'pos': 10}]
G. Nuti,[{'name': 'Il mare calmo della sera', 'pos': 1}]
M. Spina,[{'name': 'Ti amo che strano', 'pos': 7}]
I. Graziani,[{'name': 'Maledette malelingue', 'pos': 7}]
S. Bertolotti,[{'name': 'Vivere normale', 'pos': 8}]
A. Prestieri,[{'name': 'Canzone per Federica', 'pos': 2}]
A. Cheli,[{'name': 'È soltanto una canzone', 'pos': 3}, {'name': 'Un piccolo amore', 'pos': 2}]
M. D'Angelo,[{'name': 'E ci sei', 'pos': 9}]
O. Avogadro,[{'name': "L'ho persa ancora", 'pos': 9}, {'name': 'Il buio e tu', 'pos': 4}, {'name': "Quell'attimo in più", 'pos': 3}, {'name': 'A me mi piace vivere alla grande', 'pos': 6}, {'name': 'Margherita non lo sa', 'pos': 3}, {'name': 'Non scendo', 'pos': 7}]
V. Tempera,[{'name': 'Lei che', 'pos': 3}]
G. Bella,[{'name': 'Montagne verdi', 'pos': 7}, {'name': 'Pensa per te', 'pos': 9}, {'name': 'La mia nemica amatissima', 'pos': 8}, {'name': 'Senza un briciolo di testa', 'pos': 3}, {'name': 'Tanti auguri', 'pos': 6}, {'name': 'Dopo la tempesta', 'pos': 4}, {'name': "Quando l'aria mi sfiora", 'pos': 6}]
F. Silvestre,[{'name': 'Arriverà', 'pos': 2}, {'name': "Non è l'inferno", 'pos': 1}, {'name': 'Una finestra tra le stelle', 'pos': 4}, {'name': 'Ora esisti solo tu', 'pos': 9}]
A. Cazzola,[{'name': 'Una vita in vacanza', 'pos': 2}]
A. Istroni,[{'name': 'Notte di Praga', 'pos': 4}]
M. A. Sisini,[{'name': "Morirò d'amore", 'pos': 7}]
C. De Andrè,[{'name': 'Dietro la porta', 'pos': 2}]
V. Thoma,[{'name': 'Un giorno in più', 'pos': 2}]
G. Mescoli,[{'name': 'Serena', 'pos': 5}]
Giuliano Sangiorgi,[{'name': 'E se poi', 'pos': 4}]
A. Nicorelli,[{'name': 'Domani domani', 'pos': 8}]
R. Angelini,[{'name': 'Il Signor Domani', 'pos': 10}]
U. Iervolino,[{'name': 'Raccontami...', 'pos': 6}]
G. B. Martelli,[{'name': 'Proposta', 'pos': 3}]
V. Incenzo,[{'name': 'Cinque giorni', 'pos': 5}, {'name': 'Un altro amore no', 'pos': 10}, {'name': 'Che sarà di me', 'pos': 2}, {'name': "L'acrobata", 'pos': 4}, {'name': 'Il passo silenzioso della neve', 'pos': 2}, {'name': 'Nel perdono', 'pos': 2}]
L. L. Martelli,[{'name': 'Usignolo', 'pos': 2}]
Zucchero Fornaciari,[{'name': 'Fatti miei', 'pos': 10}, {'name': 'Luce (tramonti a nord est)', 'pos': 1}, {'name': "Di sole e d'azzurro", 'pos': 2}]
G. Russo,[{'name': "Morirò d'amore", 'pos': 7}]
A. Rodini,[{'name': 'Il postino (amami uomo)', 'pos': 3}, {'name': 'Ora', 'pos': 3}]
S. Seracini,[{'name': 'Grazie dei Fiori', 'pos': 1}, {'name': 'Mogliettina', 'pos': 8}, {'name': 'Ci ciu cì (Cantava un usignol)', 'pos': 7}, {'name': 'Un filo di speranza', 'pos': 9}, {'name': "L'edera", 'pos': 2}, {'name': 'Fragole e cappellini', 'pos': 7}, {'name': 'Colpevole', 'pos': 4}, {'name': 'Aspettandoti', 'pos': 9}]
R. Pacco,[{'name': 'Non ami che te', 'pos': 5}]
D. Combusti,[{'name': '1969', 'pos': 4}]
R. Lo Mele,[{'name': "L'unica", 'pos': 6}]
E. Jannacci,[{'name': 'I soliti accordi', 'pos': 6}]
G. Boursier,[{'name': 'Chiaraluna', 'pos': 6}]
G. Argenio,[{'name': 'La pioggia', 'pos': 6}, {'name': 'Taxi', 'pos': 8}]
C. Conti,[{'name': 'La pioggia', 'pos': 6}, {'name': 'Taxi', 'pos': 8}, {'name': 'Occhi rossi', 'pos': 3}, {'name': 'Sarà un fiore', 'pos': 5}]
G. Todrani,[{'name': 'E poi', 'pos': 7}, {'name': 'Come saprei', 'pos': 1}, {'name': 'Strano il mio destino', 'pos': 3}, {'name': 'Con te', 'pos': 6}]
R. Zero,[{'name': 'Nel perdono', 'pos': 2}]
P. Pinna,[{'name': 'Monica', 'pos': 3}]
G. Viezzoli,[{'name': 'Nota per nota', 'pos': 9}, {'name': 'Lì per lì', 'pos': 5}]
A. Filippelli,[{'name': 'Infinite volte', 'pos': 5}, {'name': 'Cosa ti salverà', 'pos': 6}]
R. Power,[{'name': 'Nostalgia canaglia', 'pos': 3}, {'name': 'Cara terra mia', 'pos': 3}]
Lucia Mannucci,[{'name': 'Una fotografia nella cornice', 'pos': 8}]
G. Trovato,[{'name': 'Ma non ho più la mia città', 'pos': 2}, {'name': 'Non è un film', 'pos': 4}, {'name': 'Gechi e vampiri', 'pos': 6}]
A. Nanni,[{'name': "Dietro l'intima ragione", 'pos': 4}]
C. Dammicco,[{'name': 'Linda bella Linda', 'pos': 8}, {'name': '1/2 notte', 'pos': 9}]
J. Camisasca,[{'name': "Il giorno dell'indipendenza", 'pos': 9}]
U. Bertini,[{'name': 'Tutte le mamme', 'pos': 1}, {'name': 'Cancello tra le rose', 'pos': 5}, {'name': 'Per una volta ancora', 'pos': 8}]
M. Pilato,[{'name': 'Fotografia', 'pos': 6}]
F. De Benedittis,[{'name': "L'essenziale", 'pos': 1}, {'name': 'Sotto casa', 'pos': 7}, {'name': 'La leggenda di Cristalda e Pizzomunno', 'pos': 6}]
A. Locatelli,[{'name': 'Al mercato di Pizzighettone', 'pos': 4}]
S. Endrigo,[{'name': 'Adesso sì', 'pos': 9}, {'name': 'Dove credi di andare', 'pos': 7}, {'name': 'Canzone per te', 'pos': 1}, {'name': 'Lontano dagli occhi', 'pos': 2}, {'name': "L'arca di Noè", 'pos': 3}]
A. Iammarino,[{'name': 'La borsa di una donna', 'pos': 8}]
D. Modugno,[{'name': 'Musetto (La più bella sei tu)', 'pos': 8}, {'name': 'Nel blu dipinto di blu', 'pos': 1}, {'name': 'Piove (ciao ciao bambina)', 'pos': 1}, {'name': 'Libero', 'pos': 2}, {'name': 'Addio...addio...', 'pos': 1}, {'name': 'Dio, come ti amo', 'pos': 1}, {'name': 'Come stai?', 'pos': 6}, {'name': 'Questa è la mia vita', 'pos': 2}]
M. G. Gili,[{'name': 'Io, tu e le rose', 'pos': 5}]
M. Munzi,[{'name': 'Ho bisogno di te', 'pos': 5}]
Sentacruz,[{'name': 'Linda bella Linda', 'pos': 8}, {'name': '1/2 notte', 'pos': 9}]
M. Malavasi,[{'name': 'Ma non ho più la mia città', 'pos': 2}, {'name': 'Oceano', 'pos': 6}]
R. Riefoli,[{'name': 'Si può dare di più', 'pos': 1}, {'name': 'Oggi un Dio non ho', 'pos': 10}]
G. Castellani,[{'name': 'Usignolo', 'pos': 2}]
S. Dall'Ora,[{'name': 'Cuore', 'pos': 8}]
Zibba,[{'name': 'Senza di te', 'pos': 3}]
