Writer,Songs
M. Del Prete,[{'name': 'Nessuno mi può giudicare', 'pos': 2}, {'name': "Chi non lavora non fa l'amore", 'pos': 1}, {'name': 'Sotto le lenzuola', 'pos': 5}]
D. Masini,[{'name': "I giorni dell'arcobaleno", 'pos': 1}]
A. Cogliati,[{'name': 'Regalami un sorriso', 'pos': 8}, {'name': 'Una storia importante', 'pos': 6}, {'name': 'Adesso tu', 'pos': 1}, {'name': 'È tutto un attimo', 'pos': 5}, {'name': 'Quando nasce un amore', 'pos': 7}, {'name': 'Per noi giovani', 'pos': 3}, {'name': 'Chi voglio sei tu', 'pos': 8}, {'name': 'Vieni a stare qui', 'pos': 2}, {'name': 'Come saprei', 'pos': 1}, {'name': 'Un giorno in più', 'pos': 2}, {'name': 'Innamorato', 'pos': 3}]
A. Rizzo,[{'name': 'Bambini', 'pos': 1}]
Falco,[{'name': 'Intorno a te (È sempre primavera)', 'pos': 7}]
O. Giammarinaro,[{'name': 'Abbiamo vinto il Festival di Sanremo', 'pos': 9}]
S. Conforti,[{'name': 'La terra dei cachi', 'pos': 2}, {'name': 'La canzone mononota', 'pos': 2}]
P. Jannacci,[{'name': 'I soliti accordi', 'pos': 6}]
G. Mauro,[{'name': 'Tu fai schifo sempre', 'pos': 10}]
Petaluma,[{'name': 'Un uomo piange solo per amore', 'pos': 10}, {'name': 'Vado a lavorare', 'pos': 4}]
F. Draicchio,[{'name': 'Una vita in vacanza', 'pos': 2}]
M. Spenillo,[{'name': 'Targato NA', 'pos': 4}]
Luca Barbarossa,[{'name': 'Fino in fondo', 'pos': 8}]
V. Capasso,[{'name': 'Lo specchio dei pensieri', 'pos': 3}]
E. Sognato,[{'name': 'E io ci penso ancora', 'pos': 8}]
F. Morgia,[{'name': 'Aria e musica', 'pos': 10}]
L. Fainello,[{'name': "L'amore", 'pos': 1}]
C. Donida,[{'name': 'Sotto il mandorlo', 'pos': 10}, {'name': 'Vecchio scarpone', 'pos': 4}, {'name': 'Canzone da due soldi', 'pos': 2}, {'name': 'Ricorda', 'pos': 5}, {'name': 'In un fiore', 'pos': 3}]
Sebastiani,[{'name': 'Aspettami ogni sera', 'pos': 3}]
Dolcenera,[{'name': 'Siamo tutti là fuori', 'pos': 1}, {'name': 'Ci vediamo a casa', 'pos': 6}]
M. Balducci,[{'name': "Un'altra vita un altro amore", 'pos': 5}, {'name': 'Cara', 'pos': 3}, {'name': 'Notte serena', 'pos': 5}]
S. Fabiani,[{'name': 'Credimi ancora', 'pos': 3}]
M. Negri,[{'name': "Italia d'oro", 'pos': 4}]
G. Panceri,[{'name': 'Grande', 'pos': 6}]
P. Montanari,[{'name': 'Me ne andrò', 'pos': 2}]
M. Alemanno,[{'name': 'Quasi amore', 'pos': 6}]
D. Faini,[{'name': 'La tua bellezza', 'pos': 8}, {'name': 'Scintille', 'pos': 9}, {'name': 'Il cielo è vuoto', 'pos': 7}, {'name': 'Ti porto a cena con me', 'pos': 9}, {'name': 'Frida (mai, mai, mai)', 'pos': 9}]
P. Conte,[{'name': 'Deborah', 'pos': 4}]
G. D'Anzi,[{'name': "Un disco dall'Italia", 'pos': 5}, {'name': "Viale d'autunno", 'pos': 1}, {'name': 'Per una volta ancora', 'pos': 8}, {'name': 'Conoscerti', 'pos': 3}, {'name': 'Perdonarsi in due', 'pos': 6}]
L. Fulci,[{'name': '24mila baci', 'pos': 2}]
D. Stefani,[{'name': 'Chiaraluna', 'pos': 6}]
E. Munda,[{'name': 'Musica che resta', 'pos': 3}]
Schiava,[{'name': 'Più forte', 'pos': 7}]
U. Bindi,[{'name': 'È vero', 'pos': 8}, {'name': 'La musica è finita', 'pos': 4}]
C. Sebastianelli,[{'name': 'Il buio e tu', 'pos': 4}]
A. Tatangelo,[{'name': 'Bastardo', 'pos': 9}]
Enrico Nigiotti,[{'name': 'Nonno Hollywood', 'pos': 10}]
F. Ferraguzzo,[{'name': 'Il nostro tempo', 'pos': 2}, {'name': 'Il linguaggio della resa', 'pos': 1}, {'name': 'Infinite volte', 'pos': 5}]
F. Vaccari,[{'name': 'Il mago', 'pos': 3}]
A. Ruggiero,[{'name': '...e dirsi ciao', 'pos': 1}, {'name': 'Amore lontanissimo', 'pos': 2}, {'name': 'Non ti dimentico (Se non ci fossero le nuvole)', 'pos': 2}, {'name': 'Di un amore', 'pos': 9}, {'name': 'Canzone fra le guerre', 'pos': 10}]
R. Sinigallia,[{'name': 'Lasciarsi un giorno a Roma', 'pos': 8}, {'name': 'Strade', 'pos': 2}]
S. Rocchetti,[{'name': 'Armonia e poesia', 'pos': 6}]
L. Carnacina,[{'name': 'A goccia a goccia', 'pos': 7}, {'name': 'E camminiamo', 'pos': 4}]
D. Gambi,[{'name': "Dietro l'intima ragione", 'pos': 4}]
R. Distefano,[{'name': 'Ricordi del cuore (Anime sole)', 'pos': 2}]
F. Sciacca,[{'name': 'La marcia dei santi', 'pos': 5}]
P. Cassano,[{'name': '...e dirsi ciao', 'pos': 1}, {'name': "C'era un'atmosfera", 'pos': 8}, {'name': 'Una storia importante', 'pos': 6}, {'name': 'Adesso tu', 'pos': 1}, {'name': 'Quando nasce un amore', 'pos': 7}, {'name': 'Per noi giovani', 'pos': 3}, {'name': 'Chi voglio sei tu', 'pos': 8}, {'name': 'Brivido caldo', 'pos': 8}, {'name': "Questa nostra grande storia d'amore", 'pos': 3}, {'name': 'Anche tu', 'pos': 6}, {'name': "Messaggio d'amore", 'pos': 1}, {'name': 'Non credo nei miracoli', 'pos': 5}]
M. Lusini,[{'name': 'Ciò che resta', 'pos': 4}]
Calibi,[{'name': 'Vecchio scarpone', 'pos': 4}]
L. Barazzetti,[{'name': 'Io, tu e le rose', 'pos': 5}]
M. Di Francia,[{'name': 'Cantare', 'pos': 8}]
E. Vianello,[{'name': 'Parlami di te', 'pos': 8}]
A. Baracco,[{'name': "L'unica", 'pos': 6}]
A. Diodato,[{'name': 'Babilonia', 'pos': 2}, {'name': 'Adesso', 'pos': 8}]
E. Roberto,[{'name': 'Una vita in vacanza', 'pos': 2}]
D. Groff,[{'name': 'Adesso', 'pos': 5}]
Niccolò Moriconi,[{'name': 'I tuoi particolari', 'pos': 2}]
G. Fulcheri,[{'name': "L'eterno movimento", 'pos': 10}]
Lattuada,[{'name': 'Il mare nel cassetto', 'pos': 3}]
F. Zanotti,[{'name': 'Gente come noi', 'pos': 3}, {'name': 'Storie', 'pos': 2}, {'name': 'Il linguaggio della resa', 'pos': 1}]
L. Quarantotto,[{'name': 'Con te partirò', 'pos': 4}, {'name': 'Amarti sì', 'pos': 7}]
D. Petrella,[{'name': 'Frida (mai, mai, mai)', 'pos': 9}, {'name': 'Rolls Royce', 'pos': 9}]
G. Casieri,[{'name': 'Come stai', 'pos': 7}]
R. Frenneaux,[{'name': 'Bagnati dal sole', 'pos': 5}]
L. Marino,[{'name': 'Non mi dai pace', 'pos': 4}]
A. Costanzo,[{'name': 'No Pierrot', 'pos': 6}, {'name': 'Fantastica', 'pos': 10}]
V. Nacci,[{'name': 'Incredibile', 'pos': 2}]
L. Angelosanti,[{'name': 'Promessa', 'pos': 5}]
M. De Iaco,[{'name': 'Promessa', 'pos': 5}]
E. Pietrelli,[{'name': 'Spiove il sole', 'pos': 9}]
G. Mango,[{'name': 'Re', 'pos': 9}, {'name': 'Chissà se nevica', 'pos': 5}]
M. Lavezzi,[{'name': "Quell'attimo in più", 'pos': 3}, {'name': 'Non scendo', 'pos': 7}, {'name': 'È tutto un attimo', 'pos': 5}]
T. Montelpare,[{'name': 'Possiamo realizzare i nostri sogni', 'pos': 6}, {'name': 'Rivoglio la mia vita', 'pos': 7}]
L. Dalla,[{'name': '4 marzo 1943', 'pos': 3}, {'name': 'Piazza Grande', 'pos': 8}, {'name': 'Replay', 'pos': 5}, {'name': 'Quasi amore', 'pos': 6}, {'name': 'Nanì', 'pos': 5}, {'name': 'Almeno pensami', 'pos': 4}]
G. Fiorellino,[{'name': 'Ricomincerei', 'pos': 4}, {'name': 'Bastava un niente', 'pos': 5}]
A. Blescia,[{'name': 'Quello che non siamo', 'pos': 9}]
S. Salemi,[{'name': 'Pathos', 'pos': 5}, {'name': 'Nel cuore delle donne', 'pos': 8}]
Deani,[{'name': 'Tamburino del reggimento', 'pos': 9}]
V. Tosetto,[{'name': 'Come saprei', 'pos': 1}, {'name': 'Ora che ho bisogno di te', 'pos': 4}, {'name': 'Bianca', 'pos': 8}]
Fedez,[{'name': 'Siamo uguali', 'pos': 10}]
D. Dezi,[{'name': 'Rolls Royce', 'pos': 9}]
V. Pallavicini,[{'name': 'Le mille bolle blu', 'pos': 5}, {'name': 'Stanotte al luna park', 'pos': 5}, {'name': 'Una casa in cima al mondo', 'pos': 4}, {'name': 'Parlami di te', 'pos': 8}, {'name': 'Nessuno di voi', 'pos': 10}, {'name': 'Deborah', 'pos': 4}, {'name': 'La siepe', 'pos': 9}, {'name': "13, storia d'oggi", 'pos': 8}, {'name': 'Serena', 'pos': 5}, {'name': 'La bandiera di sole', 'pos': 8}, {'name': 'Ma chi te lo fa fare', 'pos': 7}, {'name': 'Serenata', 'pos': 2}, {'name': 'Nostalgia canaglia', 'pos': 3}, {'name': 'Cara terra mia', 'pos': 3}]
V. De Scalzi,[{'name': 'Soli', 'pos': 3}]
R. Borghetti,[{'name': 'A me mi piace vivere alla grande', 'pos': 6}]
G. Di Tonno,[{'name': 'Senti uomo', 'pos': 10}]
D. Farina,[{'name': 'Sarà perché ti amo', 'pos': 5}, {'name': 'Felicità', 'pos': 2}, {'name': 'Ci sarà', 'pos': 1}, {'name': "Se m'innamoro", 'pos': 1}, {'name': 'Chiamalo amore', 'pos': 3}, {'name': "Canzone d'amore", 'pos': 7}]
M. Pezzali,[{'name': 'Finalmente tu', 'pos': 5}, {'name': 'Senza averti qui', 'pos': 8}]
R. Onori,[{'name': 'Vedrai', 'pos': 10}]
B. Lauzi,[{'name': 'Una rosa da Vienna', 'pos': 5}, {'name': "Almeno tu nell'universo", 'pos': 9}]
C. Tortora,[{'name': 'Senza giacca e cravatta', 'pos': 8}]
M. Casini,[{'name': 'Libro di novelle', 'pos': 9}, {'name': 'Donnina sola', 'pos': 10}]
M. De Angelis,[{'name': 'Intorno a te (È sempre primavera)', 'pos': 7}]
R. Lanzo,[{'name': 'Non ci prenderanno mai', 'pos': 8}]
M. Telli,[{'name': 'Un piccolo amore', 'pos': 2}]
A. Mahmoud,[{'name': 'Dimentica', 'pos': 4}]
F. Boccassini,[{'name': 'Le foglie', 'pos': 8}]
L. Sepe,[{'name': "Un po' di te", 'pos': 7}, {'name': "Un po' di te", 'pos': 3}]
L. Cherubini,[{'name': 'Vasco', 'pos': 5}]
S. Cammariere,[{'name': 'Tutto quello che un uomo', 'pos': 3}, {'name': "L'amore non si spiega", 'pos': 7}]
S. Molinari,[{'name': 'Egocentrica', 'pos': 5}]
F. Carraresi,[{'name': 'Più di così', 'pos': 9}]
C. Rego,[{'name': 'Di notte specialmente', 'pos': 10}]
S. Cenci,[{'name': 'Sarò bellissima', 'pos': 2}, {'name': 'Nessuno può fermare questo tempo', 'pos': 6}, {'name': 'Ho bisogno di sentirmi dire ti voglio bene', 'pos': 3}]
M. Armenise,[{'name': 'Esser duri', 'pos': 9}]
S. Monetti,[{'name': 'Storie', 'pos': 2}]
N. Malanima,[{'name': 'Guardami negli occhi', 'pos': 10}]
S. Romano,[{'name': 'Vedrai', 'pos': 10}]
G. Intra,[{'name': "Un'ora fa", 'pos': 4}]
R. Murolo,[{'name': 'Sempre con te', 'pos': 6}]
M. G. Nava,[{'name': 'Fai piano', 'pos': 8}]
F. Riccardi,[{'name': 'Siamo treni', 'pos': 8}]
P. Mammaro,[{'name': 'Musica che resta', 'pos': 3}]
I. Porceddu,[{'name': 'In equilibrio', 'pos': 2}]
M. Del Forno,[{'name': 'Il nostro tempo', 'pos': 2}]
Laurex,[{'name': 'Non finisce così', 'pos': 4}, {'name': 'Che sarà di me', 'pos': 2}, {'name': "L'eterno movimento", 'pos': 10}]
D. Melotti,[{'name': 'Guardami negli occhi (Prego)', 'pos': 4}, {'name': 'Musica', 'pos': 6}, {'name': 'Grande', 'pos': 6}]
L. Lopez,[{'name': 'La notte dei pensieri', 'pos': 1}]
V. D'Acquisto,[{'name': "L'edera", 'pos': 2}, {'name': 'Colpevole', 'pos': 4}, {'name': 'Aspettandoti', 'pos': 9}]
L. Greco,[{'name': "Pa' diglielo a ma'", 'pos': 7}, {'name': 'Beguine', 'pos': 6}]
Rolla,[{'name': 'Il mare nel cassetto', 'pos': 3}]
M. Martellini,[{'name': 'Lei che', 'pos': 3}]
G. Pollex,[{'name': 'Straordinario', 'pos': 5}, {'name': 'Tutta colpa mia', 'pos': 8}, {'name': 'Ciò che resta', 'pos': 4}]
R. Righini,[{'name': 'Bambini', 'pos': 1}]
Carlotta,[{'name': 'Promessa', 'pos': 5}]
G. D'Angelo,[{'name': 'Vai', 'pos': 7}, {'name': 'Senza giacca e cravatta', 'pos': 8}]
R. Fiacchini,[{'name': 'Ave Maria', 'pos': 5}]
N. Piras,[{'name': 'La forza della mente', 'pos': 6}]
A. Debernardi,[{'name': 'La ragazza con il cuore di latta', 'pos': 7}]
R. Livraghi,[{'name': "Quando m'innamoro", 'pos': 6}]
B. Antonacci,[{'name': 'Non so più a chi credere', 'pos': 8}]
J. Dorelli,[{'name': 'Buongiorno amore', 'pos': 10}]
L. Guenzi,[{'name': 'Una vita in vacanza', 'pos': 2}]
R. Mascellino,[{'name': 'Il terzo fuochista', 'pos': 7}]
C. Minellono,[{'name': 'Dolce frutto', 'pos': 4}, {'name': 'Amore mio', 'pos': 9}, {'name': 'Come stai, con chi sei', 'pos': 2}, {'name': 'Felicità', 'pos': 2}, {'name': "L'italiano", 'pos': 5}, {'name': 'Ci sarà', 'pos': 1}, {'name': "Se m'innamoro", 'pos': 1}, {'name': 'Noi, ragazzi di oggi', 'pos': 2}]
G. Savio,[{'name': 'Un amore grande', 'pos': 4}]
F. Paulin,[{'name': 'New York', 'pos': 7}]
G. Bersola,[{'name': 'Semplice sai', 'pos': 1}]
G. Anania,[{'name': 'Fatti bella per te', 'pos': 5}]
A. Mingardi,[{'name': 'Amare amare', 'pos': 8}, {'name': 'Canto per te', 'pos': 10}]
Biri,[{'name': "La luna si veste d'argento", 'pos': 2}, {'name': "L'attesa", 'pos': 6}, {'name': 'Scusami', 'pos': 3}, {'name': 'Febbre di musica', 'pos': 7}, {'name': 'Stanotte al luna park', 'pos': 5}]
Gippi,[{'name': 'La colpa fu', 'pos': 5}]
A. Parente,[{'name': 'Che giorno sarà', 'pos': 6}]
D. Calcagno,[{'name': 'La vita è un paradiso di bugie', 'pos': 3}, {'name': 'Le trote blu', 'pos': 10}, {'name': 'Avevamo la stessa età', 'pos': 7}, {'name': 'Non costa niente', 'pos': 4}]
A. Caponi,[{'name': 'Casa bianca', 'pos': 2}, {'name': 'Canzone', 'pos': 3}, {'name': 'Un sorriso', 'pos': 3}, {'name': 'Bianchi cristalli sereni', 'pos': 7}]
L. Bacalov,[{'name': 'Lontano dagli occhi', 'pos': 2}, {'name': "L'arca di Noè", 'pos': 3}]
M. Bassi,[{'name': 'Dedicato a te', 'pos': 4}, {'name': 'È vero (che ci sei)', 'pos': 1}]
M. Vicino,[{'name': 'Sul mare', 'pos': 8}]
A. Maggio,[{'name': 'Mi servirebbe sapere', 'pos': 1}]
E. Riccardi,[{'name': 'Zingara', 'pos': 1}, {'name': "Com'è dolce la sera", 'pos': 4}, {'name': 'Ninna nanna (Cuore mio)', 'pos': 10}, {'name': 'Sambariò', 'pos': 6}]
L. Albertelli,[{'name': 'Zingara', 'pos': 1}, {'name': "Com'è dolce la sera", 'pos': 4}, {'name': 'Ninna nanna (Cuore mio)', 'pos': 10}, {'name': 'Da troppo tempo', 'pos': 3}, {'name': 'Sambariò', 'pos': 6}, {'name': 'Complimenti', 'pos': 7}, {'name': 'Non voglio mica la luna', 'pos': 5}, {'name': 'Il mio angelo', 'pos': 8}, {'name': 'Fatti miei', 'pos': 10}, {'name': 'La notte dei pensieri', 'pos': 1}]
E. Malepasso,[{'name': 'Ti voglio bene', 'pos': 2}, {'name': 'Non voglio mica la luna', 'pos': 5}, {'name': 'Il mio angelo', 'pos': 8}, {'name': 'Fatti miei', 'pos': 10}, {'name': "Un po' di te", 'pos': 7}, {'name': "Un po' di te", 'pos': 3}]
M. Saggese,[{'name': "Di sole e d'azzurro", 'pos': 2}]
A. Leone,[{'name': 'Sei la vita mia', 'pos': 2}]
F. Clemente,[{'name': 'Nu juorno buono', 'pos': 1}]
S. Tamaro,[{'name': 'Nel respiro più grande', 'pos': 10}]
J. Monasta,[{'name': 'Luna', 'pos': 9}]
C. Cattini,[{'name': 'Dove si va', 'pos': 2}]
V. Mercurio,[{'name': 'Nostalgia canaglia', 'pos': 3}]
P. Gagliardi,[{'name': 'Come le viole', 'pos': 2}, {'name': 'Come un ragazzino', 'pos': 2}]
Kaballà,[{'name': 'Non ti dimentico (Se non ci fossero le nuvole)', 'pos': 2}, {'name': 'Crudele', 'pos': 10}, {'name': "Echi d'infinito", 'pos': 3}, {'name': "L'uomo che amava le donne", 'pos': 3}]
A. Merli,[{'name': 'Nu juorno buono', 'pos': 1}]
S. Grieco,[{'name': '1/2 notte', 'pos': 9}]
T. Cutugno,[{'name': "L'italiano", 'pos': 5}, {'name': 'Noi, ragazzi di oggi', 'pos': 2}, {'name': 'Io amo', 'pos': 4}, {'name': 'Il sognatore', 'pos': 5}, {'name': "Canzone d'amore", 'pos': 7}, {'name': 'Emozioni', 'pos': 2}, {'name': 'Per noi', 'pos': 8}, {'name': 'Le mamme', 'pos': 2}, {'name': 'Se non avessi te', 'pos': 6}, {'name': 'Sei tu', 'pos': 2}]
S. Benussi,[{'name': 'Wake Up', 'pos': 9}]
R. Cocciante,[{'name': 'Se stiamo insieme', 'pos': 1}, {'name': "L'amore vero", 'pos': 5}, {'name': 'Cuore senza cuore', 'pos': 7}]
E. Toffoli,[{'name': 'Luce (tramonti a nord est)', 'pos': 1}]
L. Beccafichi,[{'name': 'Pedala', 'pos': 8}]
A. Guidetti,[{'name': 'Una vita in vacanza', 'pos': 2}]
M. Conidi,[{'name': 'Non è tardi', 'pos': 7}]
Pacifico,[{'name': 'Ricomincio da qui', 'pos': 5}, {'name': 'Adesso e qui (nostalgico presente)', 'pos': 3}, {'name': 'Imparare ad amarsi', 'pos': 5}]
F. Rondanini,[{'name': 'Argentovivo', 'pos': 6}]
R. Cini,[{'name': 'Bisogna saper perdere', 'pos': 6}]
A. Pugliese,[{'name': 'Il mare', 'pos': 6}, {'name': 'Mandolino mandolino', 'pos': 8}, {'name': 'Tu venisti dal mare', 'pos': 9}]
C. A. Liman,[{'name': 'Il torrente', 'pos': 2}]
F. Specchia,[{'name': 'Linda bella Linda', 'pos': 8}]
P. Finà,[{'name': 'Amare', 'pos': 1}]
G. Orlandi,[{'name': "L'uomo volante", 'pos': 1}]
F. Bianconi,[{'name': 'La cometa di Halley', 'pos': 8}, {'name': 'Il futuro che sarà', 'pos': 8}]
E. Palumbo,[{'name': 'Monica', 'pos': 3}, {'name': 'Aspettami ogni sera', 'pos': 3}, {'name': 'È soltanto una canzone', 'pos': 3}]
C. Pes,[{'name': 'Che sarà', 'pos': 2}]
C. De André,[{'name': 'Bella più di me', 'pos': 4}, {'name': 'Il cielo è vuoto', 'pos': 7}]
A. Fontana,[{'name': 'In equilibrio', 'pos': 2}]
M. Rei,[{'name': 'Al di là di questi anni', 'pos': 3}, {'name': 'Un inverno da baciare', 'pos': 7}]
Y. Carrisi,[{'name': 'Nel perdono', 'pos': 2}]
G. Grignani,[{'name': 'Destinazione Paradiso', 'pos': 6}, {'name': 'Cammina nel sole', 'pos': 8}, {'name': 'Sogni infranti', 'pos': 8}]
P. Vivarelli,[{'name': '24mila baci', 'pos': 2}]
S. Nasuti,[{'name': 'Stai con me (Forever)', 'pos': 1}]
P. E. Bassi,[{'name': 'Vecchie mura', 'pos': 8}]
M. Riva,[{'name': 'Dentro di me', 'pos': 9}]
Duchesca,[{'name': 'In amore', 'pos': 2}]
D. Milani,[{'name': 'Su di noi', 'pos': 3}, {'name': 'Volevo dirti', 'pos': 2}, {'name': 'Ma non ho più la mia città', 'pos': 2}]
Cavaros,[{'name': 'Niente di più', 'pos': 1}]
M. Falagiani,[{'name': 'Gli uomini non cambiano', 'pos': 2}, {'name': 'Non amarmi', 'pos': 1}, {'name': 'Un anno di noi', 'pos': 10}, {'name': 'Passerà', 'pos': 1}, {'name': 'Accidenti a te', 'pos': 9}]
C. Maccaro,[{'name': 'Quando sono lontano', 'pos': 7}]
A. Ambrosino,[{'name': 'Cuore matto', 'pos': 10}]
M. Scommegna,[{'name': 'La prima cosa bella', 'pos': 2}, {'name': "I giorni dell'arcobaleno", 'pos': 1}]
D. Pao ed E. Ciarallo,[{'name': 'Appena prima di partire', 'pos': 9}]
G. Restelli,[{'name': 'Gli amori diversi', 'pos': 3}]
F. Migliacci,[{'name': 'Nel blu dipinto di blu', 'pos': 1}, {'name': 'Libero', 'pos': 2}, {'name': 'Addio...addio...', 'pos': 1}, {'name': 'Ma che freddo fa', 'pos': 5}, {'name': "Il gioco dell'amore", 'pos': 8}, {'name': "Pa' diglielo a ma'", 'pos': 7}, {'name': 'Il cuore è uno zingaro', 'pos': 1}, {'name': 'Che sarà', 'pos': 2}, {'name': 'Il re di denari', 'pos': 3}, {'name': 'Vado a lavorare', 'pos': 4}, {'name': 'New York', 'pos': 7}, {'name': 'Beguine', 'pos': 6}, {'name': 'Uomo allo specchio', 'pos': 8}, {'name': 'Più di così', 'pos': 9}, {'name': 'Sarò bellissima', 'pos': 2}]
M. Pedretti,[{'name': 'Ricordi', 'pos': 5}]
Noemi,[{'name': 'Bagnati dal sole', 'pos': 5}]
F. Fasano,[{'name': 'Regalami un sorriso', 'pos': 8}, {'name': "E mo' e mo'", 'pos': 9}]
P. Calabrese,[{'name': 'E camminiamo', 'pos': 4}, {'name': 'Ognuno per sé', 'pos': 10}, {'name': 'Credimi ancora', 'pos': 3}]
V. Rossi,[{'name': '...E dimmi che non vuoi morire', 'pos': 8}, {'name': 'Lo zaino', 'pos': 5}, {'name': 'La tua ragazza sempre', 'pos': 2}, {'name': 'Dove non ci sono ore', 'pos': 2}]
R. Di Lorenzo,[{'name': 'E tu lo chiami Dio', 'pos': 10}]
G. Mattei,[{'name': 'Valeria', 'pos': 8}]
W. Molco,[{'name': 'Nostalgia canaglia', 'pos': 3}]
A. Giordano,[{'name': 'Tu fai schifo sempre', 'pos': 10}]
G. De Stefani,[{'name': 'Felicità', 'pos': 2}]
L. Cersosimo,[{'name': 'Vasco', 'pos': 5}]
M. Violante,[{'name': 'Zerotretresette', 'pos': 10}]
A. Febo,[{'name': "All'infinito", 'pos': 9}, {'name': 'Non mi avete fatto niente', 'pos': 1}]
E. Paselli,[{'name': 'Lei balla sola', 'pos': 7}]
E. Fecchi,[{'name': 'Una fotografia nella cornice', 'pos': 8}]
F. C. Casellati,[{'name': 'Ti amo che strano', 'pos': 7}]
M. Zarrillo,[{'name': 'Su quel pianeta libero', 'pos': 8}, {'name': 'La notte dei pensieri', 'pos': 1}, {'name': 'Cinque giorni', 'pos': 5}, {'name': "L'acrobata", 'pos': 4}]
G. Finizio,[{'name': 'Lo specchio dei pensieri', 'pos': 3}]
M. Venuti,[{'name': 'Amore di plastica', 'pos': 8}, {'name': 'Crudele', 'pos': 10}, {'name': "Echi d'infinito", 'pos': 3}]
S. Basile,[{'name': 'Notte di luna', 'pos': 5}]
Bungaro,[{'name': 'Guardastelle', 'pos': 5}, {'name': 'Il mare immenso', 'pos': 10}, {'name': 'Imparare ad amarsi', 'pos': 5}]
F. Michielin,[{'name': 'Nessun grado di separazione', 'pos': 2}]
F. Piccarreda,[{'name': 'Come stai, con chi sei', 'pos': 2}]
F. Mobrici,[{'name': 'Eppure mi hai cambiato la vita', 'pos': 3}, {'name': 'Portami via', 'pos': 7}]
A. De Simone,[{'name': 'Nessuno', 'pos': 8}]
E. Falcocchio,[{'name': 'Tutte le mamme', 'pos': 1}, {'name': 'Un cuore', 'pos': 5}]
E. Meta,[{'name': 'Straordinario', 'pos': 5}, {'name': 'Odio le favole', 'pos': 3}, {'name': 'Vietato morire', 'pos': 3}, {'name': 'Non mi avete fatto niente', 'pos': 1}]
C. Cavallaro,[{'name': 'Eternità', 'pos': 4}]
L. Nigro,[{'name': 'Fuoco e cenere', 'pos': 2}]
M. Tirelli,[{'name': 'Amare amare', 'pos': 8}, {'name': 'Canto per te', 'pos': 10}]
M. Panzeri,[{'name': 'Grazie dei Fiori', 'pos': 1}, {'name': 'Sotto il mandorlo', 'pos': 10}, {'name': 'Papaveri e papere', 'pos': 2}, {'name': 'Aveva un bavero', 'pos': 6}, {'name': 'Canto nella valle', 'pos': 3}, {'name': 'Amami se vuoi', 'pos': 2}, {'name': 'Casetta in Canadà', 'pos': 4}, {'name': "Giuro d'amarti così", 'pos': 5}, {'name': 'Fragole e cappellini', 'pos': 7}, {'name': 'Una marcia in Fa', 'pos': 9}, {'name': 'Carolina dai', 'pos': 9}, {'name': 'Buongiorno amore', 'pos': 10}, {'name': 'Occhi neri e cielo blu', 'pos': 7}, {'name': "Non ho l'età (Per amarti)", 'pos': 1}, {'name': 'Nessuno mi può giudicare', 'pos': 2}, {'name': 'Io, tu e le rose', 'pos': 5}, {'name': 'La tramontana', 'pos': 5}, {'name': "Quando m'innamoro", 'pos': 6}, {'name': 'La pioggia', 'pos': 6}, {'name': 'Romantico blues', 'pos': 6}, {'name': 'Taxi', 'pos': 8}, {'name': 'Tipitipitì', 'pos': 9}, {'name': 'Rose nel buio', 'pos': 9}, {'name': "Gira l'amore (Caro bebè)", 'pos': 9}, {'name': 'Occhi rossi', 'pos': 3}, {'name': 'Sarà un fiore', 'pos': 5}]
S. Grandi,[{'name': 'Un giorno mi dirai', 'pos': 1}]
G. Ortenzi,[{'name': 'Abbi cura di me', 'pos': 5}]
G. Pellino,[{'name': 'Le ore piccole', 'pos': 9}]
M. Agnelli,[{'name': 'Argentovivo', 'pos': 6}]
Elisa Toffoli,[{'name': 'Vivendo adesso', 'pos': 4}]
La Valle,[{'name': 'Il mare nel cassetto', 'pos': 3}]
D. Baldan Bembo,[{'name': 'Tu cosa fai stasera?', 'pos': 3}]
L. Visentin,[{'name': 'Per noi giovani', 'pos': 3}]
A. Carozza,[{'name': 'Musica che resta', 'pos': 3}]
Lazzari,[{'name': 'Aspettami ogni sera', 'pos': 3}]
V. Stein,[{'name': 'Quando sono lontano', 'pos': 7}]
A. Sopranzi,[{'name': 'Perché le donne belle', 'pos': 7}]
F. Bongusto,[{'name': 'Cantare', 'pos': 8}]
V. Panzuti,[{'name': 'Famme durmì', 'pos': 6}, {'name': 'Una donna prega', 'pos': 3}, {'name': 'Sussurrando buonanotte', 'pos': 8}, {'name': 'Aprite le finestre', 'pos': 1}]
G. Capuano,[{'name': 'Working Late Tonight', 'pos': 9}]
F. Cogliati,[{'name': 'Siamo uguali', 'pos': 10}]
P. Bentivoglio,[{'name': 'Fantastica', 'pos': 10}]
R. Siani,[{'name': 'Ogni giorno di più', 'pos': 10}]
V. D'Agostino,[{'name': 'Non dirgli mai', 'pos': 10}, {'name': 'Tu che ne sai', 'pos': 8}, {'name': 'Non riesco a farti innamorare', 'pos': 3}, {'name': 'Bastardo', 'pos': 9}, {'name': 'Respirare', 'pos': 4}]
F. Califano,[{'name': 'La musica è finita', 'pos': 4}, {'name': 'Un grande amore e niente più', 'pos': 1}]
